Date,AAPL,GOOG,IBM,MSFT
2010-01-04,27.727039,313.062468,111.405000,25.555485
2010-01-05,27.774976,311.683844,110.059232,25.563741
2010-01-06,27.333178,303.826685,109.344283,25.406859
2010-01-07,27.282650,296.753749,108.965786,25.142634
2010-01-08,27.464034,300.709808,110.059232,25.316031
